Date,Time,Location,Type,SubType,Confidence
2026-08-04,20:29:01,Elderleaf Basin,zebra,zebra,0.8938
2026-08-04,20:29:01,Elderleaf Basin,person,person,0.5831
2026-08-04,20:29:01,Misty Creek Grove,zebra,zebra,0.8814
2026-08-04,20:29:02,Elderleaf Basin,zebra,zebra,0.8875
2026-08-04,20:29:02,North Ridge Forest,person,person,0.5923
2026-08-04,20:29:02,North Ridge Forest,zebra,zebra,0.8991
2026-08-04,20:29:02,Pine Hollow Zone,zebra,zebra,0.8344
2026-08-04,20:29:03,Pine Hollow Zone,person,person,0.6845
2026-08-04,20:29:03,Greywood Edge,zebra,zebra,0.5846
2026-08-04,20:29:03,Fernvale Thicket,person,person,0.4561
2026-08-04,20:29:03,Misty Creek Grove,zebra,zebra,0.5763
2026-08-04,20:29:03,Elderleaf Basin,person,person,0.4658
2026-08-04,20:29:03,Elderleaf Basin,zebra,zebra,0.8794
2026-08-04,20:29:03,Fernvale Thicket,person,person,0.6131
2026-08-04,20:29:03,Pine Hollow Zone,zebra,zebra,0.9012
2026-08-04,20:29:03,Greywood Edge,person,person,0.6729
2026-08-04,20:29:03,Greywood Edge,zebra,zebra,0.9137
2026-08-04,20:29:03,Fernvale Thicket,person,person,0.6283
2026-08-04,20:29:04,Elderleaf Basin,zebra,zebra,0.9042
2026-08-04,20:29:04,Misty Creek Grove,person,person,0.6718
2026-08-04,20:29:04,Elderleaf Basin,zebra,zebra,0.9081
2026-08-04,20:29:04,Elderleaf Basin,person,person,0.6267
2026-08-04,20:29:04,North Ridge Forest,zebra,zebra,0.8985
2026-08-04,20:29:04,Elderleaf Basin,person,person,0.6876
2026-08-04,20:29:04,Misty Creek Grove,zebra,zebra,0.9126
2026-08-04,20:29:04,Fernvale Thicket,person,person,0.7051
2026-08-04,20:29:04,Misty Creek Grove,person,person,0.6337
2026-08-04,20:29:05,Elderleaf Basin,zebra,zebra,0.7995
2026-08-04,20:29:05,North Ridge Forest,zebra,zebra,0.9099
2026-08-04,20:29:05,Elderleaf Basin,zebra,zebra,0.9089
2026-08-04,20:29:05,Misty Creek Grove,zebra,zebra,0.9253
2026-08-04,20:29:05,North Ridge Forest,zebra,zebra,0.9283
2026-08-04,20:29:06,Fernvale Thicket,zebra,zebra,0.9242
2026-08-04,20:29:06,Elderleaf Basin,zebra,zebra,0.923
2026-08-04,20:29:06,Fernvale Thicket,zebra,zebra,0.9233
2026-08-04,20:29:06,Elderleaf Basin,zebra,zebra,0.9273
2026-08-04,20:29:06,Elderleaf Basin,zebra,zebra,0.9287
2026-08-04,20:29:06,Fernvale Thicket,zebra,zebra,0.9206
2026-08-04,20:29:07,Elderleaf Basin,zebra,zebra,0.9243
2026-08-04,20:29:07,Elderleaf Basin,zebra,zebra,0.9229
2026-08-04,20:29:07,Fernvale Thicket,zebra,zebra,0.925
2026-08-04,20:29:07,Greywood Edge,zebra,zebra,0.9242
2026-08-04,20:29:07,Misty Creek Grove,zebra,zebra,0.9247
2026-08-04,20:29:08,Fernvale Thicket,zebra,zebra,0.8578
2026-08-04,20:29:08,Pine Hollow Zone,person,person,0.802
2026-08-04,20:29:08,Greywood Edge,person,person,0.5553
2026-08-04,20:29:08,Pine Hollow Zone,person,person,0.543
2026-08-04,20:29:09,Elderleaf Basin,person,person,0.755
2026-08-04,20:29:09,North Ridge Forest,person,person,0.6484
2026-08-04,20:29:09,North Ridge Forest,person,person,0.6999
2026-08-04,20:29:09,Misty Creek Grove,person,person,0.6964
2026-08-04,20:29:09,Greywood Edge,person,person,0.6975
2026-08-04,20:29:09,Fernvale Thicket,person,person,0.6027
2026-08-04,20:29:09,Misty Creek Grove,person,person,0.6461
2026-08-04,20:29:09,Misty Creek Grove,person,person,0.5669
2026-08-04,20:29:09,Pine Hollow Zone,person,person,0.7246
2026-08-04,20:29:10,Pine Hollow Zone,person,person,0.7872
2026-08-04,20:29:10,North Ridge Forest,person,person,0.7889
2026-08-04,20:29:10,Misty Creek Grove,person,person,0.8755
2026-08-04,20:29:10,Misty Creek Grove,person,person,0.8461
2026-08-04,20:29:10,North Ridge Forest,person,person,0.8905
2026-08-04,20:29:10,Fernvale Thicket,person,person,0.8824
2026-08-04,20:29:11,Misty Creek Grove,person,person,0.8662
2026-08-04,20:29:11,Greywood Edge,person,person,0.5131
2026-08-04,20:29:11,Pine Hollow Zone,person,person,0.6824
2026-08-04,20:29:11,Elderleaf Basin,person,person,0.5164
2026-08-04,20:29:11,Pine Hollow Zone,person,person,0.4836
2026-08-04,20:29:11,Pine Hollow Zone,person,person,0.6599
2026-08-04,20:29:12,Greywood Edge,person,person,0.5952
2026-08-04,20:29:12,Pine Hollow Zone,person,person,0.5883
2026-08-04,20:29:12,North Ridge Forest,person,person,0.6494
2026-08-04,20:29:12,Greywood Edge,cow,cow,0.5788
2026-08-04,20:29:13,Misty Creek Grove,cow,cow,0.6521
2026-08-04,20:29:13,Misty Creek Grove,cow,cow,0.5345
2026-08-04,20:29:13,Elderleaf Basin,cow,cow,0.7587
2026-08-04,20:29:13,North Ridge Forest,cow,cow,0.709
2026-08-04,20:29:14,North Ridge Forest,cow,cow,0.6252
2026-08-04,20:29:14,North Ridge Forest,cow,cow,0.6185
2026-08-04,20:29:14,Greywood Edge,cow,cow,0.6309
2026-08-04,20:29:14,North Ridge Forest,cow,cow,0.68
2026-08-04,20:29:14,North Ridge Forest,cow,cow,0.5698
2026-08-04,20:29:14,North Ridge Forest,cow,cow,0.7034
2026-08-04,20:29:15,Pine Hollow Zone,cow,cow,0.7665
2026-08-04,20:29:15,Elderleaf Basin,cow,cow,0.5759
2026-08-04,20:29:15,Fernvale Thicket,cow,cow,0.6598
2026-08-04,20:29:15,Misty Creek Grove,cow,cow,0.4605
2026-08-04,20:29:15,Pine Hollow Zone,cow,cow,0.6469
2026-08-04,20:29:15,Greywood Edge,cow,cow,0.4785
2026-08-04,20:29:15,Greywood Edge,cow,cow,0.4638
2026-08-04,20:29:15,Pine Hollow Zone,cow,cow,0.4598
2026-08-04,20:29:15,Elderleaf Basin,cow,cow,0.5708
2026-08-04,20:29:16,Misty Creek Grove,cow,cow,0.6118
2026-08-04,20:29:16,Pine Hollow Zone,cow,cow,0.531
2026-08-04,20:29:16,Misty Creek Grove,cow,cow,0.4601
2026-08-04,20:29:16,Fernvale Thicket,cow,cow,0.575
2026-08-04,20:29:17,Pine Hollow Zone,cow,cow,0.6078
2026-08-04,20:29:17,Pine Hollow Zone,cow,cow,0.6265
2026-08-04,20:29:17,Elderleaf Basin,cow,cow,0.6846
2026-08-04,20:29:17,Fernvale Thicket,cow,cow,0.5257
2026-08-04,20:29:17,Pine Hollow Zone,cow,cow,0.4785
2026-08-04,20:29:18,North Ridge Forest,cow,cow,0.6091
2026-08-04,20:29:18,Misty Creek Grove,cow,cow,0.6053
2026-08-04,20:29:18,Fernvale Thicket,cow,cow,0.7063
2026-08-04,20:29:18,North Ridge Forest,cow,cow,0.5634
2026-08-04,20:29:18,Fernvale Thicket,cow,cow,0.5005
2026-08-04,20:29:18,North Ridge Forest,cow,cow,0.7877
2026-08-04,20:29:19,Fernvale Thicket,cow,cow,0.6761
2026-08-04,20:29:19,Elderleaf Basin,cow,cow,0.756
2026-08-04,20:29:19,Elderleaf Basin,cow,cow,0.6896
2026-08-04,20:29:20,Pine Hollow Zone,cat,cat,0.4949
2026-08-04,20:29:20,Elderleaf Basin,cow,cow,0.6019
2026-08-04,20:29:20,Pine Hollow Zone,cow,cow,0.515
2026-08-04,20:29:20,North Ridge Forest,person,person,0.5163
2026-08-04,20:29:21,Misty Creek Grove,cow,cow,0.5845
2026-08-04,20:29:21,Pine Hollow Zone,cow,cow,0.7724
2026-08-04,20:29:21,Misty Creek Grove,cow,cow,0.6988
2026-08-04,20:29:21,North Ridge Forest,cow,cow,0.6268
2026-08-04,20:29:21,Misty Creek Grove,cow,cow,0.5199
2026-08-04,20:29:21,Greywood Edge,cow,cow,0.7837
